"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-06-06;;;;9.71;19204840078.8;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-06-05;;;;9.38;19606106357.2;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-06-02;;;;9.32;26224737891.5;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-06-01;;;;9.41;23579296841.8;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-31;;;;9.47;27058492867.2;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-30;;;;9.48;24185774737.5;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-29;;;;9.42;25227356473.4;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-26;;;;9.36;24053345238.25;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-25;;;;9.36;25685047478.62;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-24;;;;9.32;22330158300.55;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-23;;;;9.32;23985800152.4;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-22;;;;9.29;17894590873.25;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-19;;;;9.43;25365485148.35;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-18;;;;9.33;21073986811.75;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-17;;;;9.3;21903049982.25;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-16;;;;9.24;18902902438.41;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-15;;;;9.33;19330865381.05;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-12;;;;9.33;20557920154.05;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-11;;;;9.51;19509137858.3;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-10;;;;9.63;19761689509.46;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-05;;;;9.71;20723156022.3;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-04;;;;9.68;24022362478.95;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-03;;;;9.49;28641624368.25;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-05-02;;;;9.41;25501343846.5;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-04-28;;;;9.85;25264419200.01;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-04-27;;;;9.85;24984186638.55;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-04-26;;;;9.92;27205349568.15;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-04-25;;;;9.81;27143506344.3;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2017-04-24;;;;9.76;25131418046.19;;
